Term,Sentence,Video ID
miojo," If they come out of 100 kilos of unshelled almonds, 20 kilos of ""miojo"" come out, or 22 is good, or 24",cDcnUvEX5Yo
"plac, plaf"," They have to hear each other bang, go ""plac, plaf"" The almond inside has been toasted, so it also has a good point",cDcnUvEX5Yo
strand stitch," Once you make the ""strand stitch"", we have to add the almond",cDcnUvEX5Yo
point of thread," We stir the sugar a few times until it caramelizes or reaches the ""point of thread"" and then we add the almonds until it is golden brown, then it is time to remove it from the heat",cDcnUvEX5Yo
barrettes," In it, the mesh is sewn to its ends and tightened with moving parts called ""barrettes"" until a smooth framework is formed",-bgYs4knQhw
passes," This is nuanced, what we call ""passes""",-bgYs4knQhw
schools," This as time goes by, it gets very hard, and this remains after a buttress that the sandal never goes back, it ""schools"" as it was said in the old days when it was done",i7tx_g97dAA
studied," It is that this sandal has ""studied"" me, it has gone backwards",i7tx_g97dAA
carcañal," And if it is left low, it is not good either because the foot would come off, the ""carcañal"" as they used to say",i7tx_g97dAA
leave me the bathing rubber," To make it last longer, the cut didn't stick so much to the last, it was left with more flight that was said, ""leave me the bathing rubber"" because while it broke from here, it didn't break from the material",i7tx_g97dAA
rengle," And then, well, there were fights among them, to see who finished the ""rengle"" first because we call each row ""rengle"", to see who finished the ""rengle"" first, to see who finished the vineyard first, When you go sarmiento, what dries you the most is your mouth and finding small clusters of these will clean your saliva a lot and it tastes good",527czd_4S8s
trap door," Well, this chain that we have here is the ""trap door"" to open the passage of the water to start the mill working, or stop it, depending on how you want",iasOe4t52yY
banzado," At the base of the ""banzado"" we find a shed that protects the sharpening wheel",iasOe4t52yY
colt," Then all that you see up there, all those woods that are called the ""colt""",iasOe4t52yY
ferreiros," The so-called set includes the forge and the huge hammer with the anvil, used by the ""ferreiros"" to stretch the irons and shape the utensils they made",iasOe4t52yY
approximation of courses," The construction of the dome is carried out with the millenary technique called ""approximation of courses""",5xzhLA7LBzc
dry stone," The technique of closing the dome with ""dry stone"" consists of moving the courses of the slabs closer towards the center of the circumference, taking each slab out a little with respect to the lower one",5xzhLA7LBzc
rubble," The remaining pieces of stone, which have remained as rubble on the ground during construction, have an application as ""rubble"" to counterbalance the roof",5xzhLA7LBzc
Campetes,"In the arena of Huesca, the doors of the Campo haberdashery or ""Campetes"" as it has been popularly called are still open ",R96qPZl_pEY
Perico," Juan Pedro Pérez, ""Perico"", due to his great vocation, is the keeper of the giant lizards of El Hierro and one of those who try to protect this endangered species",rI54aZEkjgE
Gallotia simonyi machadoi," The giant lizard of El Hierro has the scientific name ""Gallotia simonyi machadoi"", a species that is in serious danger of extinction and whose common name for all is giant lizard, on the island, since it coexists with the smaller species, the blight lizard its considerable size makes it that epithet",rI54aZEkjgE
regacha," Then you make a ""regacha"" in the center of the ceiling, a foot or whatever deep, and then you go poking that ""regacha"" towards the left of the wall, to make the vault",nKGUPIZhykM
powerful," The rotten pot should not mislead us, it does not come from putrefaction, but rather from ""powerful"", powerful and good, the amount of products it contains and how complete the pot is is quite indicative",V3rCFoNkqlI
gamellas," Now we turn the yoke around and mark the ""gamellas""",N70s5v0eo7s
corriles," Now we are going to open the ""corriles"" at the back",N70s5v0eo7s
pits," This is put so that it does not become ""pits"" and we begin to open the corniles from behind",N70s5v0eo7s
gurtera," So that later the ""gurtera"" is put on and the rod of the car is inserted",N70s5v0eo7s
terras esquilata," When a week has passed and the piece is totally dry, we have it ready to be immersed in a preparation that is a liquid clay slip mixed with iron oxide to give us a red tone, what it will do is waterproof but the surface of the vessel that will contain oil and will give us a red decoration that in the end will be a very attractive tone for the vessel is what was done in ancient times to Roman ceramics, what was called ceramics retina or ""terras esquilata"" that were prepared based on iron oxide",ZJ2Fd5pvsr8
glory,"The rigors of winter in the Jiloca region of Teruel, and an environment that is low in fuels, have contributed to the spread of a simple and economical underground heating system, known by the name of ""glory""",snfLEVDSbNw
the glory," In Fuentes Claras there are numerous residents who light up ""the glory"" first thing in the morning",snfLEVDSbNw
The glories," ""The glories"" of the middle Jiloca from Teruel are a living example of popular ingenuity",snfLEVDSbNw
"Hey, clean this snake for me"," When the snake is killed, the first thing to cut is a small piece of the tail, then the head, then continue cleaning it, I open it and then I put the skin on a stick Not any snake, because sometimes they have brought me snakes ""Hey, clean this snake for me"" no, no, I won't touch this snake, because I know it's not good",qu_jt7M6qyc
by eye," Gabriel has so much practice in this task, that he records ""by eye"" and very quickly the final fractions, guided by the experience of a lifetime",cfu-R3-u6rw
bread," I don't touch it because it's better not to ""bread""",ujTap0YQxqo
breaded," If you keep stirring the sugar when it boils, it can be ""breaded"" as we pastry chefs say, breading is that the sugar becomes grainy",ujTap0YQxqo
escudillar," We put out the fire and quickly ""escudillar""",ujTap0YQxqo
bleach," And a bit of ""bleach"" that we say here is real fat",ujTap0YQxqo
bowl it," There is a moment that you only see with your eyes when you are ready to ""bowl it""",ujTap0YQxqo
bowls," The first time I did it, my grandfather and my father were in front of me and they told me you will do it, you know how to do it, when you see that your ""bowls"" are ready",ujTap0YQxqo
scooped," When it seemed to me that it was done and my father told me now you have it, I ""scooped"" it and it turned out well",ujTap0YQxqo
Papas arrugás," On this occasion they are going to make ""Papas arrugás"" which is a very simple dish that only requires a few coals and ashes for its preparation",o1_MdmIyOOA
papas arrugás," Once roasted, the ""papas arrugás"" are tasted by the harvesters, before resuming work",o1_MdmIyOOA
the last straw," Once the small straw and grain remain on the threshing floor, the cavalries are used to finish shelling the rye and crush ""the last straw""",o1_MdmIyOOA
colmo," An example of this can be found in the Ecomuseum of Guinea where the traditional ""colmo"" roof still survives",o1_MdmIyOOA
high," Then we are already going to start with the bunches of ""high""",o1_MdmIyOOA
lazobalde," Above very even with the cut above, a cross called ""lazobalde"" is made and tied here",o1_MdmIyOOA
cans," And you are given points in both ""cans""",o1_MdmIyOOA
hook," When the dessert acquires a certain consistency, it becomes necessary to change the mixing arm, for this they have an accessory called a ""hook"" that will finish binding the dough",UWQVljQDofI
mataleón," Now I have to make a cigarette, a ""mataleón"" that is called, trying to make it uniform, and then afterwards the dosage that is as equitable as possible",9BH_HShXCYc
he is already making pills," Hence, when one touches one's nose, one says ""he is already making pills"", for that reason, because they are rounded the same",9BH_HShXCYc
mix according to art," But that is why it says in the recipe, ""mix according to art"", you have to have a certain amount of art so that this distribution, this dosage is quite similar to the real one that you would do with a precision, very precise scale",9BH_HShXCYc
cigarritos," For example here is one that says ""cigarritos"", cigarritos was the bulero, the host, as they said, of Don Antonio",9BH_HShXCYc
llosaire,"The ""llosaire"" is a job consisting of obtaining slate slabs for the restoration of the roofs of buildings in mountainous areas",DiOd-_Oeft8
enruena," This work begins with the clearing and removal of the ""enruena"" to free the stone",DiOd-_Oeft8
llosaires," Calculating the veins through which the rock will open when hit, the ""llosaires"" look for the hooks of the stone",DiOd-_Oeft8
antisellat," The slate slabs are assembled on smooth boards nailed to the wooden beams of the framework, which form the ""antisellat""",DiOd-_Oeft8
 pumpkin ," "" ""A pumpkin, which was called"" pumpkin "", was cut like this, the round one, then we poured it all night with quicklime, then it became stiff, hard and then that after well washed, in that mustard it was cooked",C1oy9SZr_Lg
", it is the best from ",""" ""-What a good color it has! Is it red wine or what? -Yes, it is from ""garnacha"", it is the best from ""garnacha""",C1oy9SZr_Lg
garnacha," -Is the best ""garnacha"", better than white? -Not white at all, it has to be the color of this",C1oy9SZr_Lg
cuadrata," Contemporary with this letter, the rustic one, was the letter ""cuadrata""",RApGVo32kng
Roman capitalism numentalis," However, the quadrata was a letter with more weight, it was a letter whose box was built with only five nib widths and its appearance has more to do with ""Roman capitalism numentalis""",RApGVo32kng
uncial," The ""uncial"" letter was born in the fourth century and developed mainly until the end of the eighth century and the beginning of the ninth",RApGVo32kng
carolina," The box rises a little more in width, in width and a half with respect to the box of the ""carolina"" writing that gave us a more rounded writing, with more weight, smaller",RApGVo32kng
copper plate," This evolution in the writing material, since until then the quill was still used, determined a revolution of style in this broken letter that was written with an inclination of fifty-five degrees and that is known as English writing or ""copper plate""",RApGVo32kng
art nouveau," With the movement of modernism, of ""art nouveau"", the poster artists, essentially, were the ones who made use of medieval letters",RApGVo32kng
ringar," The side, because everyone who wants to sign up to go to ""ringar"" licorice in the meadow, to stop by the town hall one day",XEP5ZMiIdR8
arringau," Normally, it depends on the pits you take and the desire to dig, but we have ""arringau"" up to 250 kilos in my family, and some more in our town",XEP5ZMiIdR8
Las Meninas,"” José finished the reproduction of the painting ""Las Meninas"" by Velázquez in 1974 and gave it to him as a gift for his wife",sVKoJ_fziEY
peju," The ""peju"" is the largest piece and the one that forms the base of the tread",_8gVAUdWfFU
the eye of experience," Although ""the eye of experience"" has always been essential in this task, some marks fixed on the bench serve the warper to give each sole the desired size",jHEkgh2WMnI
cosedera," Before starting his work, Angel prepares the ""cosedera"" or sewing thread",jHEkgh2WMnI
remonte," The last task to finish the espadrilles is the ""remonte"", which consists of sewing the sole, the front and the heels",jHEkgh2WMnI
narration," This is called the ""narration"", to stop the rocking",CegFmPAGNG0
bridles," The ""bridles"" are these blows that are given here, on this side and the other, to the two parts so that the tree does not split",13TAIiF2IDk
colaña," The ""colaña"" is a defect in the trunk, in the form of a circular crack, through which the heart of the tree detaches from the wood that surrounds it",13TAIiF2IDk
by axe," The aim of the axemen is to shape a beam ""by axe"" with the usable wood, in the same way that it was done in the past",13TAIiF2IDk
cocota," And in the ""cocota"" another piece will have to be cut because it has broken and it is common and not good for wood",13TAIiF2IDk
by hatchet," Cutting with a mechanical saw replaced the traditional system of carving beams ""by hatchet""",13TAIiF2IDk
first," The ""first"" have three clean faces; the “second”, two; and so on up to the fourth category",13TAIiF2IDk
charrancha," Well, look here they are 8, which are all placed by the same thickness, so that the ""charrancha"" fixes well and does not twist",13TAIiF2IDk
Villa Verde," The ""Villa Verde"", as it is affectionately called, was the birthplace of the poet Tomás Morales and has several protected natural spaces",lglwUc3nvtc
cañiseras," The pieces of 3 or 4 kilos obtained will be left to air on the ""cañiseras""",lglwUc3nvtc
filling," With the name of ""filling"" is known the task of pouring the brine into the threshing floors up to a height that the salt worker considers sufficient",5qMCKQ23CwA
enrregado," When it develops too quickly, the salt workers carry out the ""enrregado"" which consists of filling the beds with water until it reaches the usual level",5qMCKQ23CwA
cardamone," The more stem we carry, the more moisture we carry and the more difficult it is to ""cardamone"" and turn black",4BMg2OfViPo
scorpion," Now we are going to ""scorpion"" the chamomile to hollow it out and let the air pass through and the drying process is faster",4BMg2OfViPo
scorpinate," This process must be done every day, to ""scorpinate"" it every day and remove the dust, and normally about 10 or 15 that, every day you have to do it and ""scorpinate"" it well, and dry it in the shade, because this is essential huh? this is where the quality of chamomile is",4BMg2OfViPo
calamone," Isolating the chamomile powder from the green parts of the plant and from the white petals is essential so that the humidity does not spoil the product, that is, it does not ""calamone"" it",4BMg2OfViPo
scorpinado," Now after having made the ""scorpinado"" we are going to pass it through the first sieve, which is the clearest, to remove the few residues that remain of manzanilla, of little head",4BMg2OfViPo
palomica," Now we are going to go to this one that will let us pass ""palomica"", the little white leaf, but now it won't let us pass any grains",4BMg2OfViPo
berceo,"Until the disappearance of the use of horses in agricultural tasks, in the Salamancan town of Robleda, the practice of a popular craft whose raw material was the ""berceo"" (stipa gigantea), a gramineous plant similar to esparto grass that grows spontaneously , had its heyday on the mountain Today, Natividad Calzada is still the point of reference for the use of this bush for basketry",A_RbSdg9yrQ
white-spain," It is marked with this device that you see, which is called a height marker and with a product called ""white-spain"", and the only thing that this is used for is to take some distances and heights, to later mark by freehand or directly carve with the wheel",GZMZ3sXGwK4
good eye," Of course, always with the precision that gives the ""good eye"" of experience",GZMZ3sXGwK4
cimbrias," You have to cut the corners to match, and then start putting the ""cimbrias"" that we call",fd3XuWlQjpw
chozuelero," In the past, the shepherd who was called ""chozuelero"" stayed inside it overnight and who slept next to the flock to alert his companions who rested in the fixed hut of any incident that occurred",fd3XuWlQjpw
Museum Territory,"The town of Ayerbe is located within the ""Museum Territory"" of the Pre-Pyrenees",zRO2dkXHEeA
recau," Fideleras and fideleros, with few resources in their homes, went to look for others with more economic power that needed their skillful hands to make the pasta that would give consistency to the cooked dishes or ""recau"" that fed our people for centuries",zRO2dkXHEeA
flat saddle," The traditional manufacturing process of a beret begins with the making of the pieces on a simple but safe so-called ""flat saddle"" weaving machine, acquired about fifty years ago",xa_-AKhs_wo
remallera," The ""remallera"" is a machine that has a series of punches arranged in a circle, in which the operator passes the stitches of the fabric one by one",xa_-AKhs_wo
coronita," Once the two edges are sewn and the beret is closed, a blade cuts the excess fabric strip, leaving a hole in the center, called a ""coronita""",xa_-AKhs_wo
open boat," The dyeing is carried out in a machine called ""open boat"", under an acid process, in which the desired dye, generally black, and acetic acid are dissolved",xa_-AKhs_wo
field," First, the upper part or ""field"" is sliced, taking special care to avoid cutting the tail",xa_-AKhs_wo
pelao de beasts," One of the hygienic operations, which these quadrupeds usually received and which favored skin respiration, was shearing, popularly called ""pelao de beasts""",CIIiOWH5kGg
releases," The releases are made at sunset, and when all the pigeons participating in the competition are in flight, the referee releases the pigeon or ""releases""",wzitI18OLT8
pica," The pigeon, called ""pica"", with which the sport of Colombiculture is practiced, descends from the buchona pigeon brought to Spain by the Arabs in the 8th century and it seems that it was used as a means of recreation",wzitI18OLT8
"That's it, now to paint"," ” ""That's it, now to paint"" The characteristic orange color of the gloves was originally achieved by diluting saffron in alcohol",vRXuhfklbd4
fifteen," The many are called ""fifteen""",vRXuhfklbd4
stripes," Then, in the same order in which they have been produced, the ""stripes"" are disputed",vRXuhfklbd4
a la sisa," The flamenco dress called ""a la sisa"" has no sleeves and is sewn differently",m7fBJ-Ht014
hang," The camel, on some occasions, and the donkey, on others, with their circular movement, transmitted the necessary driving force, which started the mechanism to draw or ""hang"" water from the wells",cpLPyeHMRuw
picadera," On the ""picadera"", which acts as an anvil, this peasant stretches the iron of the cut, with the blow of a hammer",cpLPyeHMRuw
rabeluco," I think we are going to put a tin lid on this ""rabeluco""",wPIXDWSv9OA
saddle," And now we are going to place the upper ""saddle"" which is where the sound of the string is cut, because if we leave it as it is when we hold the string longitudinally it will get into the wood",wPIXDWSv9OA
torrocos," With a few simple strokes of the shovel to break the ""torrocos"", the earth is prepared to make the clay",q5iTw9Ms1es
catapiles," Fill the pile, the bricklayer makes the test with a long stick called ""catapiles"", to check if the amounts of water and earth have the necessary proportion",q5iTw9Ms1es
legona," When the bricklayer considers that the mud is sufficiently trodden, he removes it with the ""legona"" leaving the pile ready for another new mass",q5iTw9Ms1es
live," At 10 or 12 o'clock, the bricks that have been made in the morning are patted to remove the ""live"" or burr that remains when the mold is removed",q5iTw9Ms1es
alive," This serves to remove the ""alive"" from them",q5iTw9Ms1es
fans," The floor of the vault has two ducts in the form of channels called ""fans"", through which they receive the air so that the fire can pull",q5iTw9Ms1es
beds," Each layer that is placed is called a ""bed"", and the first ten or twelve ""beds"" go in the same direction, to respect the draft of the holes for the fire",q5iTw9Ms1es
Cascar," ""Cascar"" consists of covering the brick beds with tile rubble to hold the fire when it reaches the top",q5iTw9Ms1es
calda," Every time the brick makers add wood to the oven, it is called ""calda"" and this happens every 10 or 15 minutes",q5iTw9Ms1es
wind," This is done so that the material does not ""wind"" as we say",q5iTw9Ms1es
caliche," These bricks have all come out good, some may come out like the one from before that has a ""caliche"", a ""caliche"" is a stone that is put into the mud and when it is cooked it jumps up just like lime, so a hole is made",q5iTw9Ms1es
muxerga," The ""muxerga"" is the wooden hopper into which the olives are poured",clQXtRWioSs
capachos," Once in the press, they place the pomace in the ""capachos"", esparto baskets on whose surface they distribute the crushed olives in layers, while bathing them continuously with hot water",clQXtRWioSs
Grabuña," ""Grabuña"" they call this residue of already pressed paste, which they have to crumble with blows, and with which they are going to make the second pressure",clQXtRWioSs
grabuña," The ""grabuña"" releases a liquid with a higher percentage of water than oil given the characteristics of its reuse",clQXtRWioSs
naife," But this knife, also called ""naife"", has a series of elements that differentiate it from all the others and that have earned it its own name: the Canarian knife",c6IeQlveG8g
cutting the knife," In this process called ""cutting the knife"", the craftsman achieves a uniform flattening of the blade with its characteristic shape",c6IeQlveG8g
cape," The spike that will house the handle or ""cape"" is also formed and differentiated from the blade",c6IeQlveG8g
heading," The ""heading"" consists of adjusting all the pieces that are going to form the handle",c6IeQlveG8g
unlock," Now, you must ""unlock"" the pieces to work them separately, but keeping the order and the color combination that you have given at the end",c6IeQlveG8g
finishing," In the final ""finishing"" of the knife, the beauty of the whole handle is already beginning to be appreciated",c6IeQlveG8g
Aragonesa de Fiestas,"For more than 30 years, ""Aragonesa de Fiestas"" has been creating and spreading throughout Spain the traditional construction of giants and big heads",YAmmn8QZD0k
lay down," What we achieve by passing the file through the big head is to unify more and smoother the part of the face with the part of the neck of the big head, and so on, when placing what he calls this process ""lay down"", place the layer between a part and another of papier-mache will achieve the most stable and most comfortable union of the bighead",YAmmn8QZD0k
tire," The ""tire"" consists of placing strips of thin cardboard-mache on the part of the face and the neck of the bighead to join it, to make it stronger",YAmmn8QZD0k
straight up," When it comes to making the ""straight up"" I can find difficulties, depending on the model of the big head, if it is more grotesque, certain lines of expression such as ears or depending on the hat or what that big head is attached to, that model, I can find myself with more or less difficulties",YAmmn8QZD0k
straightening," It would continue like this for the entire shape of the union, for everything that is the big head and thus the process of ""straightening"" would end",YAmmn8QZD0k
bowl," Heat it until it is in broth, and then to ""bowl""",McMgupBcd7s
balero," When the lead is melted in the saucepan, it is poured into the ""balero"" which is a mold tongs prepared to the size of the bullet",McMgupBcd7s
the tails," From the rabbit, that sometimes the foxes ""the tails"" and some snakes come to you",McMgupBcd7s
zaborros," The gaps that remain between one section and another of the arches must be filled with thick stones first and then with ""zaborros"", in such a way that the gaps are as small as possible and facilitate the retention of the fire",aKO_6t-Os0c
breaking the oven," In this task of ""breaking the oven"", as the plasterers say, they check by the hardness of the stones if the burning process has been adequate and the quality of the plaster obtained",aKO_6t-Os0c
legs," To make the flowers for the pieces, Julia wraps the filigree on the vitola, which is a rod with different measurement scales, which makes it easier for her to mark the ""legs"" or reference points on the thread",G7nkfE1zSZY
sausages," To do this, he hits it with different ""sausages"" in the sausage mold",G7nkfE1zSZY
buron," This task is called weaving and, to pass the sewing fiber, use a punch or ""buron""",pH5TYcc2iBU
interguard," The first face will serve as a reference for Antonio to ""interguard"" the rest of the edges and surfaces",7z4K_65wnn8
interguarde," Well now I look from here, from the edge where this rule is to this one and with one eye closed it will give me the ""interguarde""",7z4K_65wnn8
amugues," Well, tighten and fix the pack-saddle with the ""amugues"" to be able to carry",x6eUDv_1D74
diaple," Now preparing the threshing for… now we are going to hook the roller, that one over there, and then with the ""diaple"" that we call it, so that it cuts the harvest and releases the grain",x6eUDv_1D74
ruello," Now we will hook the threshing and the ""ruello""",x6eUDv_1D74
singing," While the grain is being separated and the straw is shredded, a group of the Mossos i Carreters de Albelda dedicate themselves to ""singing"" and turning the harvest with the pitchfork, a task that consists of turning it towards the center of the threshing floor and leaving it looser",x6eUDv_1D74
for the marinade to bubble," When there was no wind, it was left there in the middle of the threshing floor to wait for… here it was said ""for the marinade to bubble""",x6eUDv_1D74
borrassas," The ""borrassas"", or how do you say it in Spanish? The manual winnower is made up of a fan that rotates by hand and some changeable sieves depending on the type of grain",x6eUDv_1D74
torroques," Here we are now to see if it evens out a bit, that there are many ""torroques"", and it is to do it a bit and then work it",mdnw9xbUnQI
pigs," Here we call it marking the ""pigs""",mdnw9xbUnQI
porca," This used to be done in three passes, in larger fields one was done on each side, of what we call the ""porca"", which is the area that is delimited, and another was done in the middle",mdnw9xbUnQI
calmoned," When ""calmoned"", the canes produce a harmful dust, which cane growers are well aware of",YfioW454IBw
barreros," On the slopes of the Peña Utrera the ""barreros"" are drilled, from which the raw material is obtained to supply all the workers",RRa-m79ZxDo
pasolo," Among the various kinds of ""mud"" that exist in Salvatierra, the strong one, which has a light color, the loose one and the ""pasolo"" stand out",RRa-m79ZxDo
colaores," The work of preparing the clay in the different workshops is carried out by the ""colaores""",RRa-m79ZxDo
coligo," Juan Antonio Nogales, in addition to being an expert potter, knows very well the ""coligo"", which is the work of mixing the earth in the water to obtain quality clay",RRa-m79ZxDo
empellalo," This is called ""empellalo"", making the pellets",RRa-m79ZxDo
government," Another phase of the ""government"" is enasar, which consists of placing the handle on each of the jugs to leave them finished",RRa-m79ZxDo
bruñeras," When they are dry, the pieces that have to be decorated go to the ""bruñeras""",RRa-m79ZxDo
seasoned," If they are soft they cannot be burnished, if they are hard either, they have to be ""seasoned""",RRa-m79ZxDo
biscuit," With the first firing, called ""biscuit"", the artisans have left their consolidated work",RRa-m79ZxDo
la cuerda seca," Another traditional technique that was already used several centuries ago and that Benito Cuéllar is recovering is that of ""la cuerda seca"", which consists of separating the enamels by means of a trace of fat",RRa-m79ZxDo
dry rope," After firing at 980º, the decoration using the ""dry rope"" technique remains unaltered by inclement weather and climatic variations",RRa-m79ZxDo
ranchidor," The introduction of the rye in the pipes is done with a special tool that receives the name of ""ranchidor""",eVBEgwtXWcs
frantaletillos," Also on the frame, the saddler rivets the rings that will hold the ""frantaletillos"", hooks used to reinforce the fastening of the sheepskin ",eVBEgwtXWcs
cogotillos," In the central part of the shafts, at the height of the knob and the fan, the saddler reinforces the joints of the bast by gluing and sewing leather tabs that are called ""cogotillos"" on the front shaft",eVBEgwtXWcs
pelote," The interior of the coarse is filled with natural horse hair that receives the name of ""pelote""",eVBEgwtXWcs
baticola," Angel is going to make the ""baticola"" with an elongated strip of leather: a strap attached to the back shaft or coping that ends in a kind of eyelet through which the tail enters, and whose function is to prevent the saddle from moving forward",eVBEgwtXWcs
raise," Now we are going to ""raise""",OL_F85D8MAs
 caramel point ," It is necessary to stir the mixture so that it does not burn until it reaches the "" caramel point "" at 150 degrees of temperature",lrvWI1zgut4
el Fati," With this same machine we made square candies, a candy called ""el Fati"" who was a character in the silent film of 1900, small paving stones, medium paving stones and cobblestones ",lrvWI1zgut4
Solomonic," Finished one of the scrolls, Antonio proceeds to make the ""Solomonic"", which consists of a twisting of the center of the square",Yx-OjbWAqSk
strap," It seems that the fat of the horn gives it, before it was called ""strap"", so that it doesn't split",Yx-OjbWAqSk
ahead," Then further down you can see a little house and that is the little house in the area known as Pié los perroro s and well, now we're going to go around the Cantohincado hill and we're going to take the hill ""ahead"" to go down the Cantohincado pass to the Orove table, to the meadow",R5WyIYZfk4I
mosquientas ," In the 35 years I've been here I haven't had any attacks of this category, nor, come on, I haven't had them, we've been here with complete freedom, which was worth a lot of course because despite the fact that we're with them up to date because it is very different from having that threat to having to control them for other reasons, to take care of them because in many ways because if they were not scattered they would be lost and so we attend to them frequently because there are many problems, of ""mosquientas "", it is a fairly frequent problem during the summer and they have to be taken care of because if they are not taken care of, the insects eat them, they go outside the herd because the flies attack them a lot, they hide and they are not seen again watch",R5WyIYZfk4I
bozador," Miguel has communicated the populated glass and the empty one with a sack cloth called ""bozador""",UbpnjukAYw0
break it," While Miguel Seral prepares another glass to ""break it"", his son José is in charge of looking for the queen looking on a black background if she has laid eggs",UbpnjukAYw0
banker," Meanwhile, the original glasses are placed in their ""banker"" and Miguel makes a mark with a branch to distinguish those that are already broken",UbpnjukAYw0
palmerer," Afterwards, the ""palmerer"" must climb the female palm trees to deposit the male's pollen branch on the female's virgin and thus guarantee its fertilization",ZTaVKomTNBM
saranda," To collect the dates, the palmer places the ""saranda"" under the cluster, which is wide and shallow",ZTaVKomTNBM
triaor," The ""triaor"" will be in charge of selecting the fruits according to their degree of ripeness and quality",ZTaVKomTNBM
escamonda," This is the moment of the encaperuzado, which consists of prolonging the cap with the ""escamonda"", which are the dry palms resulting from pruning",ZTaVKomTNBM
rissaoras," The ""rissaoras"" meet in the workshops or bakeries where they combine the skill of their hands, tradition and creativity to shape extraordinary works of art, starting from the leaflets of the palms",ZTaVKomTNBM
Plaça de Baix," From the Friday before Palm Sunday, the ""Plaça de Baix"" is flooded with stalls selling palms and citizens who are already beginning to experience the festive atmosphere",ZTaVKomTNBM
rachón," The ""rachón"" is the fragmented rock of the mountain",a0AjXrUS-2g
pistol," As the ""pistol"" or hole goes deeper into the rock, a slug is formed that obstructs the hole",a0AjXrUS-2g
routs," Once it had exploded, the slate veins were fragmented and the ""routs"" could be extracted",a0AjXrUS-2g
plowing," In this work, called ""plowing"", the mace and guillos are used",a0AjXrUS-2g
French," With the so-called ""French"" miter saw, the sawdust is not expelled and remains in the crack of the cut",MTMXCEIyupo
zorziko," The ""zorziko""",MTMXCEIyupo
laucos," This is where we get the ""laucos""",MTMXCEIyupo
bicos," Now again in half, which would be the ""bicos"", which are two tablets on each side of the ax",MTMXCEIyupo
bajera," The crushing of the fixed stone or ""bajera"" is done in the same way as that of the mobile or countertop",xl6LqdmEbCQ
recent," Now we are going to introduce the yeast, which consists of a piece of dough that is left from the previous time, which is called ""recent"", and then, the day before making the bread, it must be made larger",xl6LqdmEbCQ
thin," Although in each batch she usually makes 24 loaves, today she is not going to make that many, but she will prepare some ""thin"" ones and some pieces of traditional pastry",xl6LqdmEbCQ
joracar,""" This work of making holes or ""joracar"" the ball must be done in two phases to prevent the jet from opening",gE_yWZNYvRc
block," This hole acts as a ""block"" or a ""block"" to then pass the lines of the maneuvering rigging",obtv4sWdIuU
enclaves,""" When the ""enclaves"" or channels that mark the shape of the stone in the rest of the rock have been carved, Demetrio must separate the block with the wedges, but for this it is very important to listen and know the sounds of the mineral",BFIUnzHQXsI
tasconeras,""" To separate each block, our friend the stonecutter must make three ""tasconeras"" or small cracks in the base",BFIUnzHQXsI
tascones," In each crack Demetrio places two small plates or ""tascones"" and between them the wedge",BFIUnzHQXsI
cumbrial," We had the ""cumbrial"" and then it was taken, the sticks on the sides and it was taken, you took out grass, it was put on top and on top of the grass, from the same pens, from the manure of the sheep, we took, with the same wagons that we had, we took rubbish from the manure and threw it on top of the lawns and put in a layer of 10 or 15 cm",uHMxirpIrFo
tamujos," He told us: If you want to sleep and not sleep in the open air, you have to pick up and go for ""tamujos"" and for some cork oak branches, that those weren't branches and they weren't anything, a disaster",uHMxirpIrFo
tamujales," When we finished sinking the net or we came up from below the ""tamujales"" to leave the mares",uHMxirpIrFo
El Ángel," In the Bajo Cinqueña town of Albalate de Cinca are located the dependencies of the Falconer Center ""El Ángel"", whose head is the master falconer, writer and naturalist of recognized prestige at the national and international level, Ángel Ramón",9Jx7CFFp8fw
corujones," We pass the braids and make the ""corujones""",UTTyOF16svA
codujón," You have to do the ""codujón"" like this",UTTyOF16svA
pipe," I took two rods, I took the ""pipe"" and I say, to make mattresses",UTTyOF16svA
flock," Now remove the knot to throw the ""flock""",UTTyOF16svA
codujon," Fold it, put the ""codujon"", sew it and that's it",UTTyOF16svA
barrel," When assembling the case, the watchmaker greases each of the pinions and the ""barrel"", which is the part where the hands go",iKzuibb_wM0
cuniestra,"” “If they look in a hurry, there have been years, it hasn't happened to me, but I know a rancher, catch a big snowfall and stay in a ""cuniestra"" and eat the hair of one another, the mane and the tail , before dying",CE4ElK7sawk
chamista," My work has been half ""chamista"", well, and we like this as others like sheep or cows",CE4ElK7sawk
ajuñeras," These are the ""ajuñeras"", which are made of leather, of the same skin of the cows",9kRF6ULdVYA
drill," The plow or ""drill"", as it is known in this area, consists of a grate or moldboard to break and remove the earth, and a stepper, handled by the farmer, which serves to guide the plow",9kRF6ULdVYA
biércol,"Heather, or ""biércol"" is a highly branched shrub that grows abundantly in sandy soils",9GczQH2daOc
tape," So now I put a ""tape"" that we call it, a wire",9GczQH2daOc
attalazo," We remove the ""attalazo"", we will put it under here and now we go with the broom",9GczQH2daOc
strands," Take the wire and a handful of these ""strands"", give it a turn, tie a knot there and that's it",9GczQH2daOc
hilarras," And you take some ""hilarras"" or heather that we call this and turn around twice, to the ""hilarras"", and stay there",9GczQH2daOc
